@@,itemlabel,item,startdate,enddate
->,Ибрагим Абдель Хади-паша,Q4115731->NULL,1946-09-11,1946-12-09
->,Махмуд ан-Нукраши-паша->Махмуд Фахми Нукраши-паша,Q1391679->NULL,1946-12-09,1947-11-19
---,Ahmed Mohamed Khashaba Pasha,Q16119901,1947-11-19,1948-12-28
---,Ahmed Mohamed Khashaba Pasha,Q16119901,1947-11-19,1948-12-28
+++,Ахмед Мухаммед Хашаба-паша,,1947-11-19,1948-12-28
->,Ibrahim Desouki Abaza Pasha->Ибрагим Десуки Абаза-паша,Q12181766->NULL,1948-12-28,1949-02-27
---,Ahmed Mohamed Khashaba Pasha,Q16119901,1949-02-27,1949-07-25
---,Ahmed Mohamed Khashaba Pasha,Q16119901,1949-02-27,1949-07-25
+++,Ахмед Мухаммед Хашаба-паша,,1949-02-27,1949-07-25
---,Хусейн Сирри-паша,Q4116118,1949-07-25,1949-11-03
->,Хусейн Сирри-паша,Q4116118,1949-11-03->1949-07-27,1950-01-12
---,Muhammad Salah al-Din Bey,Q108407658,1950-01-01,1952-01-01
->,Mohammed Salaheldine->Мухаммед Салах эд-Дин-бей,Q101096317->NULL,1950-01-12,1952-01-27
---,Ahmed Mohamed Farrag Tayeh,Q108407659,1952-01-01,1952-01-01
->,Али Махир->Али Махир-паша,Q733972,1952-01-27,1952-03-01
->,"Хасуна, Абдул Халек->Мухаммед Абдель Халек Хассуна-паша",Q307784,1952-03-01->1952-03-02,1952-07-02
->,"Хасуна, Абдул Халек->Мухаммед Абдель Халек Хассуна-паша",Q307784,1952-07-22,1952-07-23->1952-07-24
->,Али Махир->Али Махир-паша,Q733972,1952-07-24,1952-09-07
+++,Ахмед Фараг Тайя,,1952-09-07,1952-12-09
->,"Фавзи, Махмуд->Махмуд Фавзи",Q699336,1952-12-09,1964-03-24
->,Махмуд Риад,Q1884962,1964-01-01->1964-03-24,1972-01-01->1972-01-17
->,Мухаммед Мурад Галеб,Q1662552,1972-01-18->1972-01-17,1972-09-08
->,Мухаммед Хасан Эль-Зайят->Мухаммед Хасан эль-Зайят,Q11241394,1972-09-08,1973-10-31
->,Исмаил Фахми,Q6084719,1973-01-01->1973-10-31,1977-01-01->1977-11-17
->,Бутрос Бутрос-Гали->Бутрос Бутрос Гали,Q1257,1978-09-17->1977-11-17,1979-02-17->1991-12-31
->,"Халиль, Мустафа->Мустафа Халиль",Q403740,1979-01-01->1979-02-17,1980-01-01->1980-05-14
->,"Али, Камаль Хасан->Камаль Хасан Али",Q1722834,1980-05-14,1984-06-05
->,"Магид, Ахмед Исмат Абдель->Ахмед Исмат Абдель Магид",Q646776,1984-07-17->1984-06-05,1991-06-01->1991-05-20
->,Ахмед Махер->Ахмед Махер эль-Сайед,Q401372,2001-05-15,2004-07-11
->,Ахмед Абу-ль-Гейт->Ахмед Абуль Гейт,Q58108,2004-05-11,2011-03-06
->,Набиль Аль-Араби->Набиль аль-Араби,Q456346,2011-03-06,2011-06-01
->,Mohamed Orabi->Мухаммед Ораби,Q537159->NULL,2011-06-18,2011-07-18
->,Мухаммед Кямиль Амр->Мухаммед Камель Амр,Q58139,2011-07-18,2013-07-16
->,Nabil Fahmi->Набиль Фахми,Q12247944->NULL,2013-07-16,2014-06-17
->,"Шукри, Самех->Самех Шукри",Q7409268,2014-06-17,
